titulo,ttr,score_ttr,comprimento_medio_sentencas,comprimento_medio_palavras,media_stopwords,hapax_legomena,proporcao_hapax,score_diversidade,score_palavras_unicas,proporcao_conectivos,similaridade_media,coesao_score,num_conectivos,num_sentencas,DET,NOUN,VERB,PRON,ADP,CCONJ,ADJ,AUX,NUM,SCONJ,ADV,PROPN,X
iracema_jose_de_alencar_cap_3,0.5474060822898033,3.189624329159213,4.547406082289803,4.547406082289803,0.4221824686940966,234,0.4186046511627907,2.932021466905188,2.674418604651163,0.024,1.0,0.51,15.0,35.0,0.13884007029876977,0.2741652021089631,0.17926186291739896,0.05799648506151142,0.14586994727592267,0.0421792618629174,0.06678383128295255,0.014059753954305799,0.005272407732864675,0.026362038664323375,0.029876977152899824,0.01757469244288225,0.0017574692442882249
iracema_jose_de_alencar_cap_4,0.5066666666666667,3.026666666666667,4.380952380952381,4.380952380952381,0.4171428571428571,198,0.3771428571428571,2.767619047619048,2.508571428571429,0.019,1.0,0.51,11.0,34.0,0.15254237288135594,0.2919020715630885,0.17702448210922786,0.047080979284369114,0.14124293785310735,0.03389830508474576,0.06591337099811675,0.015065913370998116,0.0,0.030131826741996232,0.022598870056497175,0.02071563088512241,0.0018832391713747645
o_cortico_aluisio_azevedo_cap_1,0.3293707726993236,2.3174830907972943,4.521828243492519,4.521828243492519,0.4423037507686001,1121,0.2297601967616314,2.1182619389219104,1.919040787046526,0.007,1.0,0.5,41.0,175.0,0.12767660596357816,0.24814888933360016,0.155893536121673,0.0748449069441665,0.1658995397238343,0.048028817290374226,0.04922953772263358,0.015609365619371623,0.01280768461076646,0.03622173303982389,0.05123073844306584,0.01380828497098259,0.00020012007204322593
o_cortico_aluisio_azevedo_cap_2,0.3612994350282486,2.4451977401129943,4.448587570621469,4.448587570621469,0.4621468926553672,931,0.2629943502824858,2.248587570621469,2.0519774011299434,0.01,1.0,0.51,41.0,100.0,0.1284655503705737,0.22920669777655778,0.16387592643425747,0.09607466373867692,0.14877847927532253,0.04831183090859182,0.050782322261872084,0.01784243755146857,0.005764479824320615,0.04721383475157837,0.05050782322261872,0.012077957727147955,0.0008234971177600879
o_cortico_aluisio_azevedo_cap_3,0.3750951052498097,2.500380420999239,4.449911235100178,4.449911235100178,0.4430636571138727,1070,0.271366979457266,2.292924169414152,2.0854679178290643,0.007,1.0,0.5,32.0,157.0,0.13505461767626614,0.25049652432969216,0.1641012909632572,0.07274081429990069,0.15789473684210525,0.04791459781529295,0.05561072492552135,0.015888778550148957,0.007696127110228402,0.03450844091360477,0.04344587884806356,0.013902681231380337,0.0004965243296921549
o_cortico_aluisio_azevedo_cap_4,0.3894249324585102,2.5576997298340407,4.43921265920494,4.43921265920494,0.4338093400231571,706,0.2724816673099189,2.3238131995368585,2.089926669239676,0.01,1.0,0.51,30.0,119.0,0.12735493594574226,0.24642049736247174,0.17030896759608138,0.07950263752825923,0.1522230595327807,0.04822908816880181,0.04634513941220799,0.016201959306706856,0.01092690278824416,0.031650339110776186,0.05124340617935192,0.01921627731725697,0.00037678975131876413
o_mulato_aluisio_azevedo_cap_1,0.4085447263017356,2.634178905206942,4.860925678682688,4.860925678682688,0.4165554072096128,1401,0.3117489986648865,2.4405874499332443,2.246995994659546,0.008,1.0,0.5,40.0,200.0,0.12402428447528187,0.2489158716392021,0.16500433651344318,0.051387684301821335,0.1513443191673894,0.04856895056374675,0.07914137033824804,0.016695576756287946,0.0075888985255854295,0.03577623590633131,0.05008673026886384,0.021032090199479617,0.0004336513443191674
o_mulato_aluisio_azevedo_cap_2,0.363655550865344,2.4546222034613763,4.606373997467286,4.606373997467286,0.4202195018995356,1251,0.2640354579991558,2.255382017729,2.056141831996623,0.007,1.0,0.5,37.0,311.0,0.12672006572191416,0.2423495584308893,0.18566440747586774,0.0722941055658246,0.13514068597247894,0.04374614910659273,0.05730129390018484,0.017868145409735057,0.005956048469911686,0.038817005545286505,0.04764838775929349,0.025261860751694395,0.0012322858903265558
o_mulato_aluisio_azevedo_cap_3,0.3421366954213669,2.368546781685468,4.7688122096881225,4.7688122096881225,0.4242866622428666,1861,0.2469807564698075,2.178234903782349,1.9879230258792304,0.005,1.0,0.5,41.0,415.0,0.12214230670434112,0.2422296429488826,0.18250706396095556,0.06139224248651426,0.1492422296429489,0.051245825841253534,0.06267659902388903,0.018880041099409196,0.005137426149499101,0.03467762650911893,0.04790649884407912,0.020935011559208835,0.0005137426149499101
o_mulato_aluisio_azevedo_cap_4,0.3624609263995453,2.449843705598181,4.749076442171071,4.749076442171071,0.4106280193236715,1882,0.2674055129298096,2.25973287865871,2.0696220517192385,0.005,1.0,0.5,46.0,440.0,0.12657004830917876,0.2492753623188406,0.1746031746031746,0.06363008971704624,0.14575569358178053,0.04941338854382333,0.07094547964113182,0.014906832298136646,0.00800552104899931,0.028157349896480333,0.045548654244306416,0.022774327122153208,0.00013802622498274673
senhora_jose_de_alencar_cap_1,0.5227703984819735,3.091081593927894,5.011385199240987,5.011385199240987,0.4278937381404175,438,0.4155597722960152,2.876660341555977,2.6622390891840606,0.023,1.0,0.51,27.0,39.0,0.13067655236329936,0.2557924003707136,0.1556997219647822,0.0778498609823911,0.16404077849860982,0.03614457831325301,0.06765523632993513,0.011121408711770158,0.009267840593141797,0.03707136237256719,0.04170528266913809,0.012048192771084338,0.0009267840593141798
senhora_jose_de_alencar_cap_2,0.4788108791903858,2.915243516761543,4.788108791903858,4.788108791903858,0.433270082226439,608,0.3845667299177736,2.7267552182163186,2.538266919671094,0.013,1.0,0.51,24.0,88.0,0.13040828762949422,0.238878732480195,0.17184643510054845,0.07373552711761121,0.1480804387568556,0.043875685557586835,0.07495429616087751,0.010968921389396709,0.0042656916514320535,0.04143814747105423,0.04692260816575259,0.014625228519195612,0.0
senhora_jose_de_alencar_cap_3,0.4848714069591528,2.9394856278366115,4.7670196671709535,4.7670196671709535,0.4357034795763994,512,0.3872919818456883,2.7443267776096825,2.549167927382753,0.017,1.0,0.51,25.0,79.0,0.12812960235640647,0.24594992636229748,0.18335787923416788,0.07290132547864507,0.14285714285714285,0.04491899852724595,0.0508100147275405,0.017673048600883652,0.003681885125184094,0.045655375552282766,0.04344624447717231,0.020618556701030927,0.0
senhora_jose_de_alencar_cap_4,0.3966356795042054,2.5865427180168217,4.582115980522355,4.582115980522355,0.4391323594510845,647,0.2864099158919876,2.3660911907923863,2.1456396635679504,0.014,1.0,0.51,35.0,169.0,0.1412478336221837,0.22227036395147315,0.19410745233968804,0.09748700173310225,0.10875216637781629,0.0402946273830156,0.05459272097053726,0.01559792027729636,0.004766031195840554,0.05459272097053726,0.04246100519930676,0.02123050259965338,0.0017331022530329288
